County,description,Symptoms_mental_illness,Unarmed_Armed,Alleged_Threat_Level,Fleeing,Body_Camera,Geography
Douglas,"According to the St. Paul Police Department, the Bureau of Criminal Apprehension (BCA) was conducting an undercover operation involving the solicitation of minors. During the operation, numerous BCA agents entered a single family home in Alexandria. There, they encountered Klimek and told him he was under arrest. Klimek then obtained a knife and charged three agents. Two agents, Beth Eilers and Dustin Van der Hagen, fired their weapons, killing him.",No,Allegedly Armed,other,Not fleeing,No,Rural
Elmore,"Two Elmore County deputies shot Conrad who reportedly stole a pickup, led officers on a chase, attempted to carjack three different vehicles and then pointed a firearm at the deputies, according to Idaho State Police.",Yes,Allegedly Armed,attack,Car,No,Rural
Brevard,"Police say Newman shot and wounded his wife as she called 911 for help, hours before SWAT team members stormed the small cottage home and shot him to death.",Yes,Allegedly Armed,attack,Not fleeing,No,Suburban
Los Angeles,"Deputies tried to make contact with a man riding a bike, police said. The driver deputy recognized him from previous contacts as a narcotics offender. The man then left his bike and fled on foot from the deputies, who followed and caught up to him. He attempted to reach into his pockets and was shot and killed.",Drug or alcohol use,Unclear,other,Foot,No,Suburban
Baltimore,"Gaines was wanted for failing to appear in cases related to a March incident in which she was charged with disorderly conduct, resisting arrest and numerous traffic violations, police said. After an hours-long standoff, she was shot and killed. A 5-year-old child also received a gunshot wound.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Stafford,"When police responded to an accident, no one was in the vehicle, but they found an unidentified man a short distance away who shot at them and was shot and killed.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Jefferson,Cruz was taken to the hospital in mental crisis. He was tasered and restrained and died a short time later.,Yes,Unarmed/Did Not Have an Actual Weapon,other,Not fleeing,,Urban
Orange,"Swihart, a homeless man, was stopped by two officers as he was riding his bike. He fought with one of the officers and was shot by the other when he allegedly reached for the officer's gun, police said. He died about two weeks later.",Unknown,Unclear,undetermined,Not fleeing,No,Urban
Lexington,"A deputy responded to Glenda Court on a call of a suspicious person in a vehicle, police say. During the investigation, police say Byrd drove toward the deputy, striking him, and the deputy shot and killed him.",No,Vehicle,attack,Car,No,Suburban
Ocean,"Shine called 911 saying that he wanted to commit suicide, according to police. When Manchester officers arrived at the Robin Street residence where Shine had been cleaning a house with his mother, they encountered Shine holding a knife. He asked the responding officers to shoot him, and then threatened them with a knife, and he was shot and killed. He left a note saying he wanted police to kill him.",Yes,Allegedly Armed,other,Not fleeing,Yes,Suburban
Pike,"Police say they were called to a home in the area to check out an assault complaint. State Police say when they got there, Casey assaulted a trooper and a trooper shot and killed Casey.",No,Unclear,attack,Foot,No,Rural
Yakima,Few details have been released. Police were responding to a domestic violence call. Police say a man at the home was shot by one of the responding officers and died at the scene. One officer was treated for injuries.,No,Unclear,undetermined,Not fleeing,No,Rural
Jefferson,"Police received an anonymous tip that the robbery suspect was at the Marco Xpress package store. When they arrived, Bivens was outside the store, police said. They approached her, and the woman brandished her gun and three officers opened fire, killing her.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Northampton,"Deputies responded to a domestic assault call. Upon arrival, Pamela Faison told deputies that Melvin Faison, 59, had assaulted her. Deputies attempted to arrest Melvin Faison, but he pointed a gun at the deputies, and they retreated and set up a perimeter, police said. Faison left his home and pointed a handgun Sgt. Christopher Collier and Deputy Teodore Antunez Jr, who shot him. He went back in the home and died.",No,Allegedly Armed,attack,Not fleeing,No,Rural
Pima,"After a bank robbery, several carjackings, including the theft of a police car, Rael was shot and killed.",No,Allegedly Armed,attack,Other,No,Suburban
Los Angeles,"Deputies attempted to stop a car for a traffic violation. The driver in the vehicle refused to pull over and fled from deputies, prompting a chase. During the pursuit, deputies discovered that the car had been stolen in an armed carjacking earlier in the morning. The chase ended when the car crashed near Slater and Compton avenues. The suspect then got out of the car and began shooting at the deputies. The deputies fired back and the suspect ran into an adjacent neighborhood. It was unclear if the suspect was shot at the time. The man was found hiding in a home and taken into custody. At the same time that was happening, SWAT officers spotted another man, believed to be matching the description of the suspect, in the driveway of a home in the 800 block of West Stockwell Street. Police said the man charged at them before they fatally shot him.",No,Unarmed/Did Not Have an Actual Weapon,attack,Other,No,Urban
Los Angeles,"After a chase, Gonzalez got out of the car, and police shot and killed him. It's uncertain at this time whether he was armed.",No,Unclear,other,Car,Yes,Urban
Washoe,"A man was apparently driving erratically, hitting several cars and driving on the wrong side of the road. When stopped, he was shot and killed, although what precipitated the killing has not been disclosed.",No,Unclear,undetermined,Not fleeing,No,Suburban
Riverside,"After a carjacking, a chase and a short standoff, Smith was shot and killed.",No,Unclear,other,Car,No,Suburban
Cook,"Chicago police say they shot and killed an 18-year-old man who was in a stolen Jaguar that sideswiped a squad car and hit a parked car, injuring some officers.",No,Vehicle,other,Car,Yes,Urban
Jefferson,"Deputy David Dalton fired six shots at Martes as authorities say the teen pointed a 9mm pistol at the officer inside The Times-Picayune warehouse. The Sheriff's Office received a 911 call reporting two people who were ""rolling shiny objects down the street."" The pair was seen jumping a fence near a car dealership's new vehicle storage lot. Deputies who began searching the area spotted a person later identified as Martes running towards the back of the newspaper warehouse. Dalton followed the teen into the warehouse and opened fire after spotting the teen's weapon, according to police.",No,Allegedly Armed,attack,Foot,No,Urban
Phillips,"According to the Montana Department of Justice, a deputy was responding to a report about a suspicious man walking along U.S. Highway 191 near mile marker 122. When the man was confronted, he attacked and stabbed the deputy multiple times. The deputy shot and killed him.",No,Allegedly Armed,attack,Not fleeing,No,Rural
Maricopa,"Two officers were trying to locate a man, who witnesses said had been acting erratically, police said. Officers found him in front of the local Sprouts Farmers Market and followed him toward Chompies deli. Police said that the man pulled out a knife and lunged at one of the officers. It wasn't clear whether one or both officers fired their weapons, but he was shot and killed.",Yes,Allegedly Armed,other,Foot,Yes,Suburban
San Bernardino,"A passing motorist told police of a man — later identified as Saddam Trejeda-Campos — acting suspicious. When an officer “attempted to make contact” with Trejeda-Campos, police said, he charged the officer with a hunting knife. After Trejeda-Campos reportedly ignored numerous commands to drop the knife and show his hands, at least one officer fired two shots, killing him.",Yes,Allegedly Armed,other,Not fleeing,No,Urban
Franklin,"A deputy pulled Adams over in a traffic stop, but when the deputy identified Adams as having warrants for his arrest, he got out of the car and fled on foot, according to police. The deputy chased Adams in a vehicle and then got out to chase him on foot. When the deputy attempted to arrest Adams, he pulled a knife, and the deputy shot and killed him.",No,Allegedly Armed,other,Foot,Yes,Rural
Maricopa,"Hollins was shot by a police officer after robbing a pharmacy in Tempe died of his wounds as he hid in a nearby senior-care center, police say.",Yes,Unarmed/Did Not Have an Actual Weapon,attack,Foot,No,Urban
Eddy,"Artesia Police Department officers were dispatched in reference to a “shots fired” 911 call. According to police, officers encountered Duran, who was armed with two firearms. During the encounter between Duran and the APD, shots were fired by at least one officer. Duran was shot and killed.",No,Allegedly Armed,other,,No,Rural
Lincoln,"Deputies were called to assist with Antigo police who were chasing a suspect who had fired a gun at an officer during a traffic stop. The chase ended on Hillview Road in the town of Pine River, where the suspect left his car armed with a gun, and police lapsed into an hour-long standoff. Police negotiated with the suspect, but declined to say what led police to shot and kill the unidentified man.",No,Allegedly Armed,attack,Car,No,Rural
Contra Costa,"Officers attempted to stop a vehicle, but the suspect led them on a short pursuit and fled into a residence. They followed him inside where a struggle ensued, during which the suspect bit an officer's hand. At some point during the struggle they deployed a Taser, but it was ineffective, according to police. The suspect was eventually handcuffed, but moments later he became unresponsive and they performed CPR. He was resuscitated and transported to a hospital, where he was pronounced dead.",No,Unarmed/Did Not Have an Actual Weapon,attack,Car,,Suburban
Winnebago,"Deputies were called to check the welfare of John E. Heffran. Heffran was combative when deputies attempted to take him into custody for a mental health evaluation, according to police. He remained combative after he was placed in handcuffs until he fell unconscious. Emergency personnel, who were at the scene, transported Heffran to Rockford Memorial Hospital, where he was pronounced dead.",Yes,Unarmed/Did Not Have an Actual Weapon,other,Not fleeing,,Suburban
Los Angeles,"Police saw a group of people who began dispersing and running away, police said. As police chased them, one began shooting at police. During the gun battle, an officer was struck in the left arm, and Risher was struck by police gunfire.",No,Allegedly Armed,attack,Foot,No,Urban
Marion,"After an attempted traffic stop, Tyson fled, shooting at police, wounding one. A gun battle happened, and Tyson was shot and killed.",No,Allegedly Armed,attack,Car,No,Urban
Blount,"A Blount County Sheriff's Office spokesperson said police received and responded to a call about suspicious people. When Deputy Jerry Burns arrived on the scene, according to the BCSO, he stopped and questioned the two men. Edwards gave Burns a false name and date of birth. As Burns attempted to pat Edwards downy, he fled. Burns chased him, and tried unsuccessfully to use a Taser on Edwards. They fought and as Burns took Edwards to the ground, Edwards hit his head on the pavement. He died two days later.",No,Unarmed/Did Not Have an Actual Weapon,attack,Foot,,Rural
McKinley,"Police received reports Sylversmythe threatened people with a knife. When they found Sylversmythe, police said he was armed with two knifes. Officers shot and killed him, although police did not say what precipitated the shooting.",Yes,Allegedly Armed,other,Not fleeing,No,Suburban
Riverside,"People called 911 to report a man carrying a hatchet and handgun had been seen walking in a sparse residential area. Police tried to negotiate with the man for more than two hours. Police didn't provide information about the number of officers involved in the shooting, the number of times the man was shot or what occurred just before the man was shot and killed.",Yes,Allegedly Armed,attack,Not fleeing,No,Suburban
San Bernardino,"A Chino police officer responded to a shopping center after a woman reported a suspicious man with a gun in his car. An officer confronted Wells, setting off a foot chase that ended in an adjoining shopping center when Wells pointed a gun at another officer and was shot and killed.",No,Allegedly Armed,attack,Foot,No,Suburban
Bexar,"Police arrived at a home to investigate a report of family violence, Longoria opened fire. A police cruiser was struck by one of the gunshots. Two officers returned fire, killing Longoria, police said.",No,Allegedly Armed,attack,Not fleeing,No,Urban
Milwaukee,"Police shot and killed Howard, a suspect in a fatal stabbing, after he returned to the scene and charged at them with a knife, the Milwaukee Police Department said.",No,Allegedly Armed,attack,Not fleeing,No,Urban
Upshur,"Police say Upshur County dispatchers received a call about a possibly intoxicated man riding a motorcycle on another person's property. The deputy was giving Yacabitis a field sobriety test when the incident escalated, according to Upshur County Sheriff, and Yacabitis was shot and killed.",Drug or alcohol use,Allegedly Armed,attack,,No,Rural
Hawaii,"Police were called to Hawaiian Paradise Park for a suicidal, armed man. Police say Medeiros struggled with one police officer over a .45 caliber gun. When the handgun was pointed at that officer, another officer fired one shot killing Medeiros.",Yes,Allegedly Armed,attack,Not fleeing,No,Rural
Cook,"Bicycle officers were told that a man was acting erratically in a park. Officers went to the park and found Love on his cellphone. The officers told him to get off the phone and talk to them, but he reached into a backpack and started firing, police said. The officers returned fire, killing the man.",Yes,Allegedly Armed,attack,Not fleeing,No,Urban
Santa Barbara,Gaona had a knife and was stabbing at himself and shouting obscenities on a busy street corner when he was shot and killed by police after he lunged at officers.,Yes,Allegedly Armed,other,Not fleeing,No,Suburban
New Haven,"A city police officer, a military veteran with three children, is suspected of shooting a man several times before turning the gun on himself in what is believed to be a murder suicide. Officer Hallock Yocher was on the force for about a decade and is believed to have shot a father of two, James T. Stuart, following a domestic disturbance that began at the home he owned with his wife in Naugatuck.",No,Unclear,other,Not fleeing,,Suburban
Tulsa,"Brimer's wife called police to their home, saying that her husband was threatening her and that he was armed, police said. Brimer was holding an axe and making suicidal statements and was fatally shot by police when he approached officers.",Yes,Allegedly Armed,other,Not fleeing,No,Suburban
East Baton Rouge,"Long ambushed and killed three Baton Rouge police and wounded three, before he was shot and killed.",Yes,Allegedly Armed,attack,Not fleeing,No,Suburban
Sheboygan,"Police Chief Chris Domagalski said that two officers responded to a reported robbery in progress at the Union Avenue Tap and encountered the robbery suspect near the doorway. The man allegedly was carrying an “AR-15 style” rifle as the officers approached, and the officers shot and killed the man.",No,Allegedly Armed,other,Not fleeing,No,Suburban
Kings,"Two officers responded to Debevoise Ave. at Jackson St. in the Cooper Park Houses after receiving a pair of 911 calls — one reporting an emotionally disturbed man and the other a robbery at gunpoint, police said. Police spotted Johnson toting a .40-caliber semiautomatic handgun, and fitting the robbery suspect's description, police said. Johnson opened fire on the officers, who shot and killed him.",Unknown,Allegedly Armed,attack,Not fleeing,No,Urban
Livingston,"A state trooper stopped to check on a vehicle crash. After the trooper stopped, he saw that the driver, O'Rourke, was holding a sword. O'Rourke started running away from the trooper, who chased him. When O'Rourke turned around and confronted the trooper with the sword, the trooper fired his Taser. Shortly after that, O'Rourke died.",Unknown,Allegedly Armed,other,Foot,,Suburban
Tulsa,"Officer Stephen Blaylock, 28, shot and killed Ramsey after Ramsey reportedly threw a screwdriver at officers while causing a disturbance outside a northeast Tulsa home .",Unknown,Unclear,attack,Not fleeing,No,Urban
San Bernardino,"Police said the Honda Accord Jarrett was driving had been reported stolen earlier in Yucaipa. According to police, Jarrett was armed with a sawed-off shotgun, and after a brief “confrontation,” police shot and killed him.",No,Allegedly Armed,attack,Other,No,Urban
Clay,"Police said they had been in contact with Smith, a marine veteran, for a couple of hours over the phone in an attempt to bring him out of his home. Neighbors were evacuated from their homes on Citation Dr. and SWAT was called in. Investigators say Smith came out of his home and pointed a gun at a SWAT officer, according to the Clay County Sheriff's Office, at which point he was shot and killed.",Yes,Allegedly Armed,attack,Not fleeing,No,Rural
Ocean,"Police arrived at the couple's Sycamore Drive home and called for backup from the county SWAT team. When the team arrived, Fennell fled the house into a wooded area. Officers reported seeing Fennell holding a handgun when he left the house. Officers confronted Fennell, who allegedly was armed with a handgun. An officer or officers from the SWAT team shot and killed Fennell. Police recovered a handgun at the scene of the shooting.",Unknown,Allegedly Armed,other,Foot,No,Suburban
Anson,"EMS was dispatched because a man's wife thought her husband having a stroke, police said. When they arrived, the husband was combative it, and EMS called for deputies to assist. When they arrived, deputies went into the house. The man was combative and retrieved a rifle. One deputy retreated, and the suspect closed door as he went out, then turned the turned toward other deputy. He wouldn't drop the gun and was shot and killed. Home was apparently suffering from Alzheimer's.",Yes,Allegedly Armed,attack,Not fleeing,No,Rural
Grant,"According to police, the suspect was found dead in a wooded area behind the McDonald's restaurant he robbed Thursday night. He'd shot a police dog, exchanged gunfire with police and ran into the woods.",No,Allegedly Armed,attack,Foot,,Urban
Baltimore City,"Police heard shots. They found the man, and there was an exchange of gunfire. Police found the man in an apartment. He was pronounced dead shortly thereafter.",No,Allegedly Armed,attack,Not fleeing,No,Urban
Coconino,"Police went to a 911 call where the caller left the line open but did not speak. They found a person and pursued him, shooting and killing him, although the exact reason for shooting him has been withheld.",No,Allegedly Armed,undetermined,Foot,Yes,Suburban
Oklahoma,"Police said Webb was armed with a pair of scissors when officers used a Taser while attempting to take him into custody. He made a threatening gesture toward officers, and one of the officers shocked him with his Taser. Officers disarmed the man and placed handcuffs on him. The man continued to be combative toward the officers, who then placed him in maximal restraints, securing his legs. Officers then noticed the man was having difficulty breathing. Handcuffs were removed and an ambulance was called. The man was taken to a hospital where he was pronounced dead.",Unknown,Allegedly Armed,attack,Not fleeing,,Urban
Orange,"Police responded to a domestic disturbance. Dinneny met them with a pellet gun, threatened to kill his girlfriend, himself and police and was shot and killed.",Yes,Unarmed/Did Not Have an Actual Weapon,attack,Not fleeing,No,Suburban
Anchorage,"Anchorage Police Department responded to a report of a robbery in progress the Home Depot on Rodeo Place. Zekovic reportedly stole multiple items then “assaulted an employee while armed with several hatchets and axes,” police said. He threw at least one of the weapons at police and was shot and killed.",Yes,Allegedly Armed,attack,Not fleeing,No,Suburban
Jefferson,"Police responded to a break-in. Cupps was in the basement, growling and apparently wearing shorts and duct work. He was tasered and died a short time later.",Unknown,Unarmed/Did Not Have an Actual Weapon,other,Not fleeing,,Urban
Kings,Police say they were chasing a burglar when he pulled a gun on them. He was shot and killed.,No,Allegedly Armed,attack,Foot,No,Urban
Wayne,"Medina, a suspect wanted in the weekend killings of his wife and her friend in Detroit, was fatally shot after coming out of a storage closet and pointing a gun at officers, police said.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
St. Clair,"Police say Brooks fired shots at bystanders, then in the direction of two officers. He was shot and killed.",Unknown,Allegedly Armed,attack,Not fleeing,No,Suburban
Berrien,"Two court bailiffs -- both retired police officers -- were killed and the suspect, Gordon, was shot and killed by police inside the county courthouse in downtown St. Joseph.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Sacramento,"A man was acting erratically, waving a knife, when police were called. At least one witness said he had a gun. He was shot and killed when he threatened police with the knife.",Yes,Allegedly Armed,other,Not fleeing,Yes,Urban
Harris,"Police said they encountered Braziel while on routine patrol. They said he pointed a gun at the sky, and when they told him to drop it, he pointed it at them and was shot and killed. Video from a nearby convenience store seems to contradict the story.",No,Allegedly Armed,other,Not fleeing,Yes,Urban
McCurtain,"A Broken Bow officer saw Johnson, who was wanted in Sevier County, Ark., and attempted to stop the vehicle he was driving. During the chase, Johnson drove down a dead-end street, got out of the car and shot at an officer's car. Johnson then shot at the windshield of a second police car before law officers opened fire on him, killing him, police said.",No,Allegedly Armed,attack,Car,No,Rural
St. Louis,"After an apparent Facebook dispute, Gebhard apparently tried to break into a police officer's home, and he was shot and killed.",Yes,Unclear,attack,Not fleeing,,Suburban
Pima,"Members of a countywide Mobile Acute Crisis team that deal with mental illness situations went to Smith's mobile home to serve Smith a court-ordered emergency mental health petition, police said. Three officers entered the mobile home, when they encountered Smith coming out of a back bedroom, with what appeared to be two knives in his hands. Two officers were able to back out of the trailer and out of Smith's way, but officer Ryder Schrage was backed into a fence, and unable to escape as Smith continued to advance. Schrage ordered Smith to stop, and shot and killed him.",Yes,Allegedly Armed,other,Not fleeing,No,Suburban
Dallas,"Johnson killed five and wounded seven police officers and wounded two non-police at an anti-violence protest, police said. Police killed him with a robot with a bomb on it. More police died in the attack than any since Sept. 11, 2001.",Unknown,Allegedly Armed,attack,Foot,,Urban
Los Angeles,"Bell Police Department personnel and East Los Angeles Station (sheriff's) personnel received 911 calls regarding a domestic dispute at a local convenience store, police said. The man had argued with and assaulted a woman, who had a child with her, at a fast food restaurant and then walked next door to a convenience store, where the dispute continued. When Bell police officers arrived, they encountered a man armed with a knife. He refused to comply with the officers' commands and advanced toward the officers with the knife, Ramos and was shot and killed.",No,Allegedly Armed,other,Not fleeing,No,Urban
Dallas,"Officers responded to a domestic violence incident at a residence. Selma police said family members had notified a 911 operator that the suspect had shot their mother. Officers heard gunfire coming from the residence upon arrival. Officers were trying to enter the residence when the suspect fired shots at them. Officers returned fire, killing Fells.",No,Allegedly Armed,attack,Not fleeing,Yes,Suburban
Fresno,Officers fired three rounds at Smith as he accelerated his vehicle toward them. Police had been trying to serve a warrant at a home.,No,Vehicle,other,Car,No,Suburban
Ramsey,"Police shot and killed Castile after a routine traffic stop, apparently after he identified himself as legally carrying a gun. His girlfriend filmed the aftermath of the encounter. Her daughter was also in the vehicle.",No,Allegedly Armed,other,Not fleeing,No,Suburban
Hinds,"Moorehead was accused of raping his ex-girlfriend of eight years last week, according to police. He was found dead in a home after a 3 1/2 hour standoff that began with gunfire exchanged between him and U.S. Marshals who had come to pick him up on three felony warrants. Authorities said he came out of a closet with a shotgun, and shots were fired. Whether Moorehead was injured in that exchange and later died, was shot later, or whether his fatal wounds were self-inflicted has not yet been released and is under investigation by the Mississippi Bureau of Investigation.",No,Allegedly Armed,attack,Not fleeing,,Rural
Grady,Rush Springs police officer Daniel Smith shot Vandemark after he refused to put down his gun. Smith was responding to a domestic violence call.,No,Allegedly Armed,other,Not fleeing,Yes,Rural
Los Angeles,"A man allegedly brandished a gun inside a Carl's Jr. restaurant and confronted the off-duty reserve officer, who responded by shooting and killing him,",No,Allegedly Armed,attack,Not fleeing,,Urban
Yuma,Deputies went to Ventura's home on a domestic call and knocked on the door. Ventura opened the door with a knife in hand and immediately began attacking them. She was shot and killed.,Yes,Allegedly Armed,other,Not fleeing,No,Suburban
East Baton Rouge,"Police say they were contacted about a man who was carrying a gun and selling CDs outside Triple S Food Mart. The owner of the store said two officers confronted Sterling and then one officer tasered Sterling, and the second officer tackled Sterling to the ground. He says while Sterling was on the ground, Sterling struggled with the officer who had tackled him. He says that's when the first officer then shot Sterling. Police have not confirmed whether or not Sterling was in possession of a gun.",No,Allegedly Armed,other,Not fleeing,Yes,Suburban
Polk,"Officers were called to an apartment complex in Monmouth where the man was allegedly trespassing and harassing an ex-girlfriend. Police said they were told the suspect left after getting into a confrontation with a male tenant of one of the apartments and pulling out a knife. When they spotted him, deputies pulled him over and tried to arrest him. Oregon State Police said a trooper used a less lethal force option before a deputy shot the suspect. Some reports said he was armed with a knife.",No,Unclear,undetermined,,No,Suburban
Riverside,"After allegedly robbing an El Pollo Loco, the unidentified man fled, and there was a chase. He crashed twice before police shot and killed him in front of the Temecula Elementary School.",No,Unclear,other,Car,No,Suburban
Santa Clara,Officers were called to check on the welfare of a possibly suicidal man with a gun. But police have provided no details about the circumstances that led to the fatal shooting.,Yes,Allegedly Armed,other,Not fleeing,No,Suburban
District of Columbia,"Metro Transit Police went to investigate a large crowd setting off fireworks, D.C. police said. When they arrived, officers found a man with a gun. The officers identified themselves as police, and the man fired shots at them before one of the officers shot and killed the man, police said.",No,Allegedly Armed,attack,Not fleeing,No,Urban
Kaufman,"Deputies responded to a residence for a reported domestic dispute. Upon their arrival, police said the officers confronted the knife-wielding suspect, and he was shot and killed.",No,Allegedly Armed,other,Not fleeing,Yes,Rural
Charleston,"According to police, Patterson was trying to run people over with his car. Officers arrived on scene and surrounded a house where the car was parked. Soon after, Patterson came to a window on the second floor and began shooting at police, who shot and killed him.",Unknown,Allegedly Armed,attack,Not fleeing,Yes,Urban
Kings,"An off-duty officer got in an argument with another driver in Cypress Hills. Both men stopped their vehicles at a red light on Bradford Street. According to the NYPD, that's when the driver of a 2016 Kia EX exited his vehicle -- with a 5-month-old inside -- and punched the officer's head through an open driver's side window. Police said the beating continued despite the officer identifying himself as a member of the NYPD. He then pulled out his gun and shot and killed the driver.",No,Unarmed/Did Not Have an Actual Weapon,attack,Not fleeing,,Urban
Iberia,"Deputies responded to a domestic disturbance call where a male suspect was accused of stabbing two women. Deputies said after they arrived, the man barricaded himself inside of the home. Eventually he came at the deputies with the knife and was shot and killed.",Yes,Allegedly Armed,other,Not fleeing,No,Suburban
Orange,"Undercover California Highway Patrol officers followed a truck containing which eventually made it into a residential area in Fullerton. The officers attempted a traffic stop, but the suspects did not stop. Authorities said the driver turned the truck around and drove toward the officers. The officers feared for their safety and shot and killed Villanueva.",No,Vehicle,other,Car,No,Suburban
Washoe,"Saavedra-Vargas went around barricades at a downtown Reno event, hit a vehicle and drove toward a crowd and police, who shot and killed him.",Unknown,Vehicle,other,Car,No,Urban
Buncombe,"Officers responded to a call of shots fired at the Pisgah View Apartments, and followed a suspect car to the Deaverview Apartments. Police say Williams was seen fighting with a woman in a car. When Williams got out of the car, officers say he had an AR-15, and he was shot and killed.",No,Allegedly Armed,other,Car,No,Suburban
Sullivan,Justice was shot and killed when officers attempted to serve an arrest warrant at a motel.,No,Allegedly Armed,attack,Not fleeing,No,Suburban
Orange,"Anaheim police officers responded July 2 to a call about a suspicious man who had followed a woman to her home, police said. Somehow, he got from the home at the 2600 block W. Broadway Ave. to the 7-Eleven at 240 S Magnolia Ave, where police say he fought them. He was tasered, and after a few days in a coma, he died on July 10.",Unknown,Unarmed/Did Not Have an Actual Weapon,undetermined,Not fleeing,,Urban
Bartow,"Cartersville Police Officers and Bartow County Sheriff's Deputies were attempting to arrest McQueen for a probation violation warrant and an aggravated assault warrant. Deputies and officers made contact with McQueen who was armed with a handgun. A Taser was fired at McQueen didn't subdue him. McQueen pointed his handgun at the officers and deputies, at which point a deputy and an officer shot and killed him.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Washington,Police are called to a home on Stonewall Drive. The family says their mother was being held by a man at knifepoint. Police rushed in and killed him.,No,Allegedly Armed,other,Not fleeing,No,Suburban
Spartanburg,"As of July 5, olice have not said what they were investigating. They have said he was heavily armed and pointed a gun at them.",No,Allegedly Armed,attack,Not fleeing,No,Rural
Cook,"An Arby's restaurant manager was robbed while heading out to make a bank deposit, police said. The suspects took off in a gold sedan, which Illinois State Police spotted on Interstate 57 heading toward Chicago. Chicago Police joined as the chase went off the highway, and an unmarked squad SUV rammed the suspects' car at the intersection of 124th Street and Union. Ronald Arrington and Jimmy Malone, who were inside the car, died after the crash.",No,Vehicle,attack,Car,,Urban
Cook,"An Arby's restaurant manager was robbed while heading out to make a bank deposit, police said. The suspects took off in a gold sedan, which Illinois State Police spotted on Interstate 57 heading toward Chicago. Chicago Police joined as the chase went off the highway, and an unmarked squad SUV rammed the suspects' car at the intersection of 124th Street and Union. Ronald Arrington and Jimmy Malone, who were inside the car, died after the crash.",No,Vehicle,attack,Car,,Urban
Park,"According to police, a man shot and killed his brother during a domestic dispute. The man started shooting at deputies when they responded to the scene, and he was shot and killed.",No,Allegedly Armed,attack,Not fleeing,No,Rural
Franklin,Police said the incident started as a shooting off Whittier Street where officers followed 25-year-old Kawme Dejuan Patrick to the Lockhurst Apartments. Patrick was shot in the front yard of the apartment complex.,No,Allegedly Armed,undetermined,,No,Urban
Converse,"According to police, deputy U.S. Marshals were involved in a line-of-duty shooting incident, while attempting to apprehend fugitive Jasen Scott Ramirez, who was wanted on drug charges. During the attempted arrest, Ramirez was shot and killed.",No,Unclear,undetermined,Not fleeing,No,Rural
Lee,"Police were called to a bank robbery. During a chase, Evans shot at police and was shot and killed.",No,Allegedly Armed,attack,Foot,No,Rural
Dane,"Neighbors reported seeing someone chest-deep in Lake Monona, acting oddly by slapping the water and talking to himself. Neighbors reported the man also threw a rock through a window of the home. Koval says the homeowners reported that someone was in their house, and they could hear things being smashed. The first arriving officer was waiting for backup when the suspect approached him at the threshold of the door, while holding a pitchfork-like tool. The officer told the suspect multiple times to put down the tool and keep back, but he did not listen to commands. The officer felt threatened and shot and killed him.",Yes,Allegedly Armed,other,Not fleeing,No,Urban
Ouachita,"Police said they responded to an domestic disturbance, which led them to Reado's home. They said Reado pulled a gun; then they shot and killed him.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Knox,"Police say Mills showed up at his in-laws' home. Relatives say he appeared high on drugs and wanted to see his 2-year-old daughter. They say that when they allowed him to see her, he grabbed the child and took off in an SUV that later ran out of gas. Police found Mills with the child walking on a dangerous stretch of Hwy 223. They say that Mills refused to cooperate with them and a fight broke out, and he was shot and killed.",Drug or alcohol use,Unclear,attack,Not fleeing,No,Rural
Los Angeles,"Prak allegedly charged at officers while holding a knife, police said. He was shot and killed. A police dog, named Credo, was also shot and killed by gunfire from an officer's weapon.",Unknown,Allegedly Armed,other,Foot,No,Urban
Honolulu,"Police responded to a call regarding a suicidal man. When they came back to the apartment, Dang threatened them with a knife and was shot and killed.",Yes,Allegedly Armed,attack,Not fleeing,No,Urban
Cibola,"Officers responded to a call for assistance from the Laguna Tribal Police in reference to an armed person running from tribal police. State police located Vierra, who fired at them, and he was shot and killed.",No,Allegedly Armed,attack,Not fleeing,No,Rural
Bleckley,Deputies responded to a domestic disturbance. Peacock met them in the front yard with a rifle and refused to put it down. He was shot and killed.,No,Allegedly Armed,attack,Not fleeing,No,Rural
Kent,"Hutson was an accused burglar who led police on a chase, then pointed his gun at them before he was shot and killed.",No,Unarmed/Did Not Have an Actual Weapon,other,Car,No,Rural
Boone,"Officers were called on a report of a man with a gun threatening people. When officers arrived they found a man who matched the description. While talking with him, officers say Disbrowe took a gun out of his waistband. Officers ordered him to drop the gun but he refused and raised it, pointing the weapon at officers and walking toward them. He was shot and killed.",Yes,Unarmed/Did Not Have an Actual Weapon,attack,Not fleeing,No,Rural
District of Columbia,"Police found Evans with a gun on a walkway between two apartment buildings, police said. Officers ordered him to drop the gun, but he refused and raised it, police said. The officers opened fire and killed Evans.",Yes,Unarmed/Did Not Have an Actual Weapon,attack,Not fleeing,Yes,Urban
Lancaster,"Kennedy was suspected in a murder and an assault. When police caught up with him, he pointed his gun at them, and he was shot and killed.",No,Allegedly Armed,attack,Foot,No,Suburban
