Victim_age,Victim_gender,Victim_race,Date ,County,Agency_responsible_death,Cause_death
46,Male,White,27/10/2017,Erie,Erie Police Department,Gunshot
47,Male,Black,27/10/2017,Martin,Martin County Sheriff's Office,Gunshot
32,Male,White,26/10/2017,Baldwin,Fairhope Police Department,Gunshot
34,Male,White,26/10/2017,Chemung,"Elmira Police Department, Chemung County Sheriff's Office, New York State Police",Gunshot
33,Male,Black,25/10/2017,Cuyahoga,Cleveland Division of Police,Gunshot
33,Male,Black,25/10/2017,Pinellas,St. Petersburg Police Department,Gunshot
25,Male,White,24/10/2017,New London,"Norwich Police Department, Connecticut State Police",Gunshot
37,Male,White,24/10/2017,Luzerne,Pennsylvania Fish and Boat Commission,Gunshot
34,Male,Hispanic,24/10/2017,Harris,Houston Police Department,"Gunshot, Taser"
20,Male,Black,23/10/2017,Baltimore City,Baltimore Police Department,Gunshot
35,Male,Hispanic,23/10/2017,San Joaquin,Lodi Police Department,Gunshot
31,Female,White,23/10/2017,Shelby,Shelbyville Police Department,Gunshot
35,Male,Native American,23/10/2017,Sioux,Bureau of Indian Affairs,Gunshot
25,Female,White,22/10/2017,Buchanan,St. Joseph Police Department,Gunshot
43,Male,Native American,22/10/2017,Washoe,Sparks Police Department,Gunshot
30,Male,Native American,22/10/2017,Forest,Crandon Police Department,Gunshot
27,Male,Hispanic,22/10/2017,Stanislaus,Ceres Police Department,Gunshot
37,Male,White,21/10/2017,Trumbull,Girard Police Department,Gunshot
44,Male,Hispanic,21/10/2017,Sonoma,Cloverdale Police Department,Gunshot
23,Male,Black,20/10/2017,Montgomery,Moraine Police Department,Gunshot
30,Male,White,20/10/2017,Sequoyah,Sequoyah County Sheriff's Office,Gunshot
54,Male,Hispanic,20/10/2017,Harris,Houston Police Department,Gunshot
42,Male,Black,20/10/2017,Avoyelles,Avoyelles Parish Sheriff's Office,Taser
55,Male,Black,20/10/2017,Nueces,Corpus Christi Police Department,Gunshot
26,Male,White,19/10/2017,Cleveland,"York County Sheriff's Office, Clover Police Department",Gunshot
34,Male,White,19/10/2017,Pinellas,Clearwater Police Department,Gunshot
38,Male,White,19/10/2017,Jefferson,Birmingham Police Department,"Gunshot, Taser"
35,Male,White,18/10/2017,Pima,Tucson Police Department,Gunshot
18,Male,Hispanic,17/10/2017,Merced,Atwater Police Department,Gunshot
24,Male,Black,17/10/2017,Hampton City,"Newport News Police Department, Williamsburg Police Department",Gunshot
20,Male,Black,16/10/2017,Baltimore City,Baltimore Police Department,Gunshot
31,Male,White,16/10/2017,Harris,Montgomery County Precinct 4 Constable's Office,"Gunshot, Taser"
32,Male,White,16/10/2017,Greenville,Greenville County Sheriff's Office,Gunshot
34,Male,Hispanic,16/10/2017,Pima,Pima County Sheriff's Office,Gunshot
57,Male,White,14/10/2017,Wayne,Wayne County Sheriff's Office,Gunshot
Unknown,Male,White,14/10/2017,San Diego,San Diego County Sheriff's Department,Taser
44,Male,Hispanic,14/10/2017,Los Angeles,Torrance Police Department,Gunshot
42,Male,Black,13/10/2017,Charlottesville City,Charlottesville Police Department,Gunshot
25,Male,White,13/10/2017,Yuba,Yuba County Sheriff's Department,Gunshot
29,Male,White,2017-12-10 00:00:00,Coconino,Flagstaff Police Department,Gunshot
35,Male,Black,2017-12-10 00:00:00,Jefferson,Homewood Police Department,Gunshot
43,Male,Hispanic,2017-11-10 00:00:00,Pima,Marana Police Department,Gunshot
44,Male,Hispanic,2017-11-10 00:00:00,Las Animas,Las Animas County Sheriff's Office,Gunshot
61,Male,White,2017-11-10 00:00:00,Harrison,Biloxi Police Department,Gunshot
55,Male,Unknown race,2017-10-10 00:00:00,Thurston,Thurston County Sheriff's Office,Gunshot
24,Male,Black,2017-08-10 00:00:00,Jefferson,Louisville Metro Police Department,Gunshot
46,Male,White,2017-08-10 00:00:00,Navajo,Pinetop-Lakeside Police Department,Gunshot
Unknown,Male,Hispanic,2017-08-10 00:00:00,Los Angeles,San Fernando Police Department,"Gunshot, Pepper Spray"
Unknown,Male,Hispanic,2017-08-10 00:00:00,Washington,Washington County Sheriff's Office,"Gunshot, Pepper Spray"
36,Female,White,2017-08-10 00:00:00,Conway,Conway County Sheriff's Office,Taser
22,Female,Black,2017-08-10 00:00:00,Miami-Dade,Miami Beach Police Department,Gunshot
25,Male,White,2017-07-10 00:00:00,Kanawha,Kanawha County Sheriff's Office,Gunshot
34,Female,Hispanic,2017-07-10 00:00:00,Maricopa,Mesa Police Department,Gunshot
61,Male,Unknown race,2017-07-10 00:00:00,St. Louis City,St. Louis Metropolitan Police Department,Taser
28,Male,Unknown race,2017-07-10 00:00:00,Pulaski,Little Rock Police Department,Gunshot
28,Male,Hispanic,2017-06-10 00:00:00,Los Angeles,Pasadena Police Department,Gunshot
35,Male,Hispanic,2017-06-10 00:00:00,Orange,Orlando Police Department,"Gunshot, Taser"
42,Male,Unknown race,2017-06-10 00:00:00,Barber,Barber County Sheriff's Office,Bean bag
47,Male,White,2017-06-10 00:00:00,Fayette,Perryopolis Police Department,Gunshot
51,Male,White,2017-06-10 00:00:00,Jefferson,Colorado State Patrol,Gunshot
52,Male,Hispanic,2017-06-10 00:00:00,Miami-Dade,Miami-Dade Police Department,Gunshot
28,Male,Asian,2017-05-10 00:00:00,Ramsey,St. Paul Police Department,Gunshot
29,Male,Hispanic,2017-05-10 00:00:00,Finney,"Finney County Sheriff's Office, Garden City Police Department",Gunshot
31,Male,Hispanic,2017-05-10 00:00:00,Cameron,Brownsville Police Department,Gunshot
40,Male,White,2017-05-10 00:00:00,Jefferson,Leeds Police Department,Gunshot
35,Male,White,2017-05-10 00:00:00,Paulding,Paulding County Sheriff's Office,Gunshot
37,Male,Black,2017-04-10 00:00:00,Thomas,Thomas County Sheriff's Office,Gunshot
48,Female,Black,2017-04-10 00:00:00,Ontario,Canandaigua Police Department,Gunshot
67,Male,White,2017-04-10 00:00:00,Maricopa,Mesa Police Department,Gunshot
34,Male,White,2017-04-10 00:00:00,Spokane,Spokane Police Department,Gunshot
40,Male,White,2017-03-10 00:00:00,Cole,Jefferson City Police Department,Gunshot
22,Male,Black,2017-02-10 00:00:00,Ouachita,Ouachita Parish Sheriff's Office,Gunshot
26,Male,White,2017-01-10 00:00:00,Larimer,Fort Collins Police Services,Gunshot
27,Male,Black,2017-01-10 00:00:00,Des Moines,Burlington Police Department,Gunshot
33,Male,White,2017-01-10 00:00:00,Robeson,Robeson County Sheriff's Office,Gunshot
34,Male,White,2017-01-10 00:00:00,Washington,Pennsylvania State Police,Gunshot
38,Male,White,2017-01-10 00:00:00,St. Louis,St. Louis County Police Department,Gunshot
41,Male,White,2017-01-10 00:00:00,Kenai Peninsula,Seward Police Department,Gunshot
24,Male,Hispanic,2017-01-10 00:00:00,Miami-Dade,Hialeah Police Department,Gunshot
28,Male,Black,30/09/2017,Putnam,Palatka Police Department,Gunshot
44,Male,White,30/09/2017,Bartholomew,Indiana State Police,Gunshot
30,Male,Black,28/09/2017,Shawnee,Topeka Police Department,Gunshot
39,Male,White,28/09/2017,Salt Lake,Salt Lake City Police Department,"Gunshot, Taser, Baton"
40,Male,Black,28/09/2017,Bell,Temple Police Department,Physical Restraint
40s,Male,Black,28/09/2017,Alameda,Oakland Police Department,Taser
44,Male,White,27/09/2017,Hernando,"Hernando County Sheriff's Office, U.S. Marshals Service",Gunshot
45,Male,Black,27/09/2017,Alameda,"Fairfield Police Department, Richmond Police Department",Gunshot
48,Male,White,27/09/2017,Spalding,Spalding County Sheriff's Office,Gunshot
31,Male,White,26/09/2017,Lane,Eugene Police Department,Gunshot
50,Male,White,26/09/2017,Bonner,Bonner County Sheriff's Office,Gunshot
50,Male,White,26/09/2017,Williamson,Fairview Police Department,Gunshot
31,Male,White,25/09/2017,Clark,Las Vegas Metropolitan Police Department,Gunshot
32,Male,Black,25/09/2017,Manatee,Palmetto Police Department,Gunshot
24,Male,White,24/09/2017,Henry,New Castle Police Department,Gunshot
46,Male,Black,24/09/2017,San Francisco,San Francisco Police Department,Gunshot
40,Male,White,23/09/2017,Forrest,Hattiesburg Police Department,Gunshot
36,Male,Hispanic,23/09/2017,Nassau,Nassau County Police Department,Taser
26,Male,Hispanic,22/09/2017,San Diego,Oceanside Beach Police Department,Gunshot
27,Male,White,22/09/2017,Orange,Huntington Beach Police Department,Gunshot
28,Male,White,22/09/2017,Maricopa,Mesa Police Department,Gunshot
30,Male,White,22/09/2017,Adams,Adams County Sheriff's Office,Gunshot
44,Male,White,22/09/2017,Hernando,Hernando County Sheriff's Office,Gunshot
40,Male,White,21/09/2017,Pierce,Pierce County Sheriff's Office,Gunshot
58,Male,White,21/09/2017,Atoka,Oklahoma Highway Patrol,Gunshot
25,Male,Native American,21/09/2017,Jefferson,Jefferson County Sheriff's Office,Gunshot
38,Male,Hispanic,21/09/2017,Rockwall,Rockwall Police Department,Gunshot
25,Male,Black,20/09/2017,Peoria,Peoria Police Department,Gunshot
31,Male,Black,20/09/2017,Madison,Huntsville Police Department,Gunshot
25,Male,White,19/09/2017,Union,Union County Sheriff's Office,Gunshot
27,Male,White,19/09/2017,San Diego,Chula Vista Police Department,Gunshot
55,Male,White,19/09/2017,Grayson,Grayson County Sheriff's Office,Gunshot
Unknown,Male,Unknown race,19/09/2017,Harris,La Porte Police Department,Gunshot
35,Male,Hispanic,19/09/2017,Oklahoma,Oklahoma City Police Department,Gunshot
53,Male,White,19/09/2017,Union,Union Parish Sheriff's Office,Gunshot
31,Male,White,18/09/2017,Calhoun,Calhoun County Sheriff's Office,Gunshot
21,Male,Black,17/09/2017,Harrison,Harrison County Sheriff's Office,Gunshot
37,Male,White,17/09/2017,Island,Island County Sheriff's Office,Gunshot
Unknown,Male,Hispanic,17/09/2017,Los Angeles,California Highway Patrol,"Gunshot, Taser, Beanbag Shotgun"
21,Transgender,White,16/09/2017,Fulton,Georgia Tech Police Department,Gunshot
32,Male,Hispanic,15/09/2017,Santa Clara,San Jose Police Department,Gunshot
15,Male,Hispanic,15/09/2017,Prince William,Prince William County Police Department,Gunshot
48,Male,White,15/09/2017,Broward,Hollywood Police Department,Gunshot
50,Male,White,14/09/2017,Braxton,West Virginia State Police,Gunshot
31,Male,Hispanic,13/09/2017,La Paz,Arizona Department of Public Safety,Gunshot
48,Male,White,2017-11-09 00:00:00,Hamilton,Tennessee Highway Patrol,Gunshot
40,Male,Hispanic,2017-11-09 00:00:00,Los Angeles,Los Angeles County Sheriff's Department,Gunshot
25,Male,Native American,2017-11-09 00:00:00,Cascade,Great Falls Police Department,Gunshot
22,Male,Hispanic,2017-10-09 00:00:00,Maricopa,El Mirage Police Department,Gunshot
32,Male,White,2017-10-09 00:00:00,Collin,Plano Police Department,Gunshot
58,Male,Hispanic,2017-10-09 00:00:00,Pierce,Tacoma Police Department,Gunshot
76,Male,White,2017-10-09 00:00:00,Mecklenburg,Huntersville Police Department,Gunshot
19,Male,Hispanic,2017-10-09 00:00:00,Cook,Chicago Police Department,Gunshot
26,Male,Black,2017-09-09 00:00:00,Humboldt,"Arcata Police Department, Humboldt State University Police Department",Gunshot
45,Male,White,2017-08-09 00:00:00,Potter,Amarillo Police Department,Gunshot
50,Male,White,2017-08-09 00:00:00,Barry,Monett Police Department,Gunshot
41,Male,Black,2017-07-09 00:00:00,Sacramento,Sacramento Police Department,Gunshot
29,Male,Hispanic,2017-06-09 00:00:00,Mecklenburg,Charlotte-Mecklenburg Police Department,Gunshot
31,Male,Black,2017-06-09 00:00:00,Bronx,New York Police Department,"Gunshot, Taser"
42,Male,White,2017-06-09 00:00:00,Los Angeles,California Highway Patrol,Gunshot
16,Male,White,2017-05-09 00:00:00,Miami-Dade,Miami-Dade Police Department,"Gunshot, Taser"
Unknown,Female,Unknown race,2017-05-09 00:00:00,Harris,"Harris County Sheriff's Office, U.S. Marshals Service",Gunshot
44,Male,White,2017-04-09 00:00:00,Lucas,Toledo Police Department,Gunshot
67,Male,Unknown race,2017-04-09 00:00:00,Lewis,Lewis County Sheriff's Office,Gunshot
25,Male,Black,2017-04-09 00:00:00,Cook,Chicago Police Department,Gunshot
52,Male,White,2017-04-09 00:00:00,Muscogee,Columbus GA Police Department,"Gunshot, Taser"
37,Male,Black,2017-03-09 00:00:00,Milwaukee,Milwaukee Police Department,Gunshot
47,Male,White,2017-03-09 00:00:00,Cowlitz,Longview Police Department,Gunshot
30,Male,White,2017-03-09 00:00:00,Summit,Stow Police Department,Gunshot
31,Male,Black,2017-03-09 00:00:00,Horry,Myrtle Beach Police Department,Gunshot
Unknown,Male,Unknown race,2017-02-09 00:00:00,Riverside,Beaumont Police Department,Gunshot
36,Male,White,2017-01-09 00:00:00,Berkshire,Pittsfield Police Department,Gunshot
32,Male,White,2017-01-09 00:00:00,Rutland,Vermont State Police,Gunshot
45,Male,White,2017-01-09 00:00:00,Grant,Grant County Sheriff's Office,Gunshot
54,Female,White,31/08/2017,Lee,Lee County Sheriff's Office,Gunshot
22,Male,Hispanic,30/08/2017,Santa Clara,Bakersfield Police Department,Gunshot
32,Male,Native American,30/08/2017,Sacramento,"California Highway Patrol, Sacramento County Sheriff's Department",Gunshot
17,Male,Black,29/08/2017,Cook,Chicago Police Department,Gunshot
22,Male,White,29/08/2017,Lincoln,Lincoln Parish Sheriff's Office,Gunshot
46,Female,White,29/08/2017,Tarrant,Watauga Police Department,Gunshot
68,Male,Unknown race,29/08/2017,Calhoun,Jacksonville Police Department,Gunshot
55,Male,Black,29/08/2017,Vanderburgh,"Evansville Police Department, Federal Protective Service","Gunshot, Taser"
62,Male,White,28/08/2017,Litchfield,New Milford Police Department,Gunshot
24,Male,Black,28/08/2017,McPherson,McPherson County Sheriff's Office,Gunshot
27,Male,Black,28/08/2017,Miami-Dade,Miami-Dade Police Department,Gunshot
26,Male,Hispanic,27/08/2017,San Juan,"San Juan County Sheriff's Office, New Mexico State Police",Gunshot
33,Male,White,27/08/2017,Montgomery,Kettering Police Department,Gunshot
34,Male,White,27/08/2017,Bath,Kentucky State Police,Gunshot
18,Male,Black,26/08/2017,Jefferson,Pine Bluff Police Department,Gunshot
18,Male,Hispanic,26/08/2017,Texas,Oklahoma Highway Patrol,Gunshot
15,Male,Black,26/08/2017,Wayne,Michigan State Police,Taser
28,Female,White,25/08/2017,Broward,Sunrise Police Department,Gunshot
44,Male,White,25/08/2017,Duval,Jacksonville Sheriff's Office,Gunshot
30,Male,Black,25/08/2017,Cobb,Cobb County Police Department,Taser
47,Male,Black,25/08/2017,Greene,Greene County Sheriff's Office,Gunshot
19,Male,Hispanic,24/08/2017,San Diego,"La Mesa Police Department, San Diego Police Department, San Diego County Sheriff's Department",Gunshot
24,Male,Black,24/08/2017,Essex,Essex County Sheriff's Office,Gunshot
28,Male,White,24/08/2017,Oakland,Waterford Police Department,Gunshot
26,Female,White,23/08/2017,Johnson,"Olathe Police Department, Johnson County Sheriff's Office",Gunshot
43,Male,Hispanic,23/08/2017,Denver,Regional Transportation District Transit Police,Gunshot
30,Male,White,22/08/2017,Santa Barbara,Santa Barbara County Sheriff's Office,Gunshot
30,Transgender,Black,22/08/2017,St. Louis City,St. Louis Metropolitan Police Department,Gunshot
48,Male,White,22/08/2017,Los Angeles,Santa Maria Police Department,Gunshot
56,Male,White,22/08/2017,Butte,Butte County Sheriff's Office,Gunshot
71,Male,Hispanic,22/08/2017,Yamhill,Rio Rancho Police Department,Gunshot
22,Male,White,21/08/2017,Brown,Kewaunee County Sheriff's Office,Gunshot
51,Male,Black,21/08/2017,Jefferson,Adult Probation Department Jefferson County Courthouse,Gunshot
64,Male,White,21/08/2017,Columbia,Columbia County Sheriff's Office,Gunshot
66,Male,White,21/08/2017,Pueblo,Pueblo County Sheriff's Office,Gunshot
42,Male,White,21/08/2017,Burke,Burke County Sheriff's Office,Gunshot
22,Male,White,20/08/2017,Love,Oklahoma Highway Patrol,Gunshot
32,Male,Black,20/08/2017,Ocean,Brick Township Police Department,Gunshot
44,Male,White,20/08/2017,Searcy,U.S. National Park Service,Gunshot
Unknown,Male,Hispanic,20/08/2017,Kern,California Highway Patrol,Gunshot
32,Male,White,19/08/2017,Jefferson,Homewood Police Department,Gunshot
25,Male,Black,18/08/2017,Duval,Jacksonville Sheriff's Office,Gunshot
26,Male,Hispanic,18/08/2017,Los Angeles,Montebello Police Department,Gunshot
26,Male,White,18/08/2017,Fayette,Pennsylvania State Police,Gunshot
60,Male,Unknown race,18/08/2017,Essex,Bloomfield Police Department,Gunshot
28,Male,Hispanic,17/08/2017,Maricopa,Phoenix Police Department,"Gunshot, Taser"
65,Male,White,17/08/2017,Crenshaw,Crenshaw County Sheriff's Office,Gunshot
34,Male,Black,16/08/2017,Los Angeles,Los Angeles County Sheriff's Department,Gunshot
54,Male,White,16/08/2017,Alameda,Livermore Police Department,Gunshot
37,Male,Black,15/08/2017,Thomas,Thomas County Sheriff's Office,Gunshot
20,Male,White,14/08/2017,Duval,Jacksonville Sheriff's Office,Gunshot
45,Male,White,14/08/2017,El Paso,Colorado Springs Police Department,Gunshot
24,Male,White,13/08/2017,Habersham,Habersham County Sheriff's Office,Gunshot
34,Male,Hispanic,13/08/2017,Miami-Dade,Miami Police Department,Gunshot
41,Male,White,13/08/2017,Cocke,Cocke County Sheriff's Office,"Gunshot, Police Dog"
46,Male,Black,13/08/2017,Benton,Kennewick Police Department,Gunshot
50,Male,Black,13/08/2017,Salt Lake,Salt Lake City Police Department,Gunshot
54,Male,White,13/08/2017,La Crosse,La Crosse Police Department,Gunshot
35,Male,Hispanic,2017-12-08 00:00:00,Pierce,Pierce County Sheriff's Office,Gunshot
31,Male,Black,2017-11-08 00:00:00,Philadelphia,Philadelphia Police Department,Gunshot
Unknown,Male,Hispanic,2017-11-08 00:00:00,Harris,Harris County Sheriff's Office,Gunshot
49,Male,White,2017-10-08 00:00:00,Los Angeles,Los Angeles Police Department,Gunshot
33,Male,White,2017-10-08 00:00:00,Lake,Crete Police Department,Gunshot
20,Male,Black,2017-09-08 00:00:00,King,Kent Police Department,Gunshot
17,Male,Black,2017-08-08 00:00:00,Cook,Dolton Police Department,Gunshot
23,Male,White,2017-08-08 00:00:00,Geary,"Junction City Police Department, Geary County Sheriff's Office",Gunshot
29,Male,Hispanic,2017-07-08 00:00:00,Sedgwick,Wichita Police Department,Gunshot
45,Male,Hispanic,2017-07-08 00:00:00,Hudson,North Bergen Police Department,"Gunshot, Pepper Spray"
36,Male,White,2017-07-08 00:00:00,Jackson,Independence Police Department,Gunshot
28,Male,Black,2017-06-08 00:00:00,Jackson,Kansas City Police Department,Gunshot
32,Male,White,2017-06-08 00:00:00,Hickman,Dickson Police Department,Gunshot
24,Male,White,2017-05-08 00:00:00,Perry,New Straitsville Police Department,Gunshot
35,Male,Hispanic,2017-05-08 00:00:00,Sonoma,Santa Rosa Police Department,"Gunshot, Taser"
34,Male,Black,2017-05-08 00:00:00,Broward,Fort Lauderdale Police Department,Pepper Spray
33,Male,Black,2017-04-08 00:00:00,Horry,Myrtle Beach Police Department,Gunshot
33,Male,White,2017-04-08 00:00:00,Swisher,Swisher County Sheriff's Office,Gunshot
35,Male,White,2017-04-08 00:00:00,Washoe,Washoe County Sheriff's Office,Gunshot
36,Female,White,2017-04-08 00:00:00,St. Clair,Marine City Police Department,Gunshot
47,Male,Black,2017-04-08 00:00:00,San Diego,San Diego County Sheriff's Department,Gunshot
53,Male,White,2017-04-08 00:00:00,Los Angeles,Los Angeles Police Department,Gunshot
54,Male,White,2017-04-08 00:00:00,Warren,Warren City Police Department,Gunshot
31,Male,White,2017-04-08 00:00:00,Lauderdale,Lauderdale County Sheriff's Office,Gunshot
57,Male,White,2017-03-08 00:00:00,Allen,Allen County Sheriff's Office,Gunshot
15,Male,Black,2017-02-08 00:00:00,Lake,Gary Police Department,Gunshot
27,Male,Black,2017-02-08 00:00:00,Dekalb,Dekalb County Police Department,Gunshot
29,Male,Black,2017-02-08 00:00:00,Red River,Red River Parish Sheriff's Office,Gunshot
45,Male,Hispanic,2017-02-08 00:00:00,Contra Costa,Vallejo Police Department,Gunshot
28,Male,White,2017-02-08 00:00:00,Marion,Marion County Sheriff's Department,Gunshot
25,Male,Hispanic,2017-01-08 00:00:00,Clark,Las Vegas Metropolitan Police Department,Gunshot
33,Male,Hispanic,2017-01-08 00:00:00,Yuba,Yuba County Sheriff's Department,Gunshot
39,Male,White,2017-01-08 00:00:00,Tulare,Visalia Police Department,Gunshot
42,Male,White,2017-01-08 00:00:00,Surry,Surry County Sheriff's Office,Gunshot
35,Male,Black,2017-01-08 00:00:00,Baltimore,Baltimore County Police Department,Gunshot
37,Male,Black,2017-01-08 00:00:00,McLennan,Waco Police Department,Gunshot
32,Male,Black,31/07/2017,Kings,New York Police Department,"Gunshot, Taser"
39,Male,Hispanic,31/07/2017,Merced,Los Banos Police Department,"Gunshot, Taser"
43,Male,White,31/07/2017,Bernalillo,Albuquerque Police Department,Gunshot
28,Male,Black,31/07/2017,Winnebago,Oshkosh Police Department,Gunshot
34,Male,Black,29/07/2017,Riverside,Corona Police Department,Gunshot
48,Male,White,29/07/2017,Canyon,"Owyhee County Sheriff's Office, Nampa Police Department, Caldwell Police Department, Canyon County Sheriff's Office, Idaho State Police",Gunshot
31,Male,Black,28/07/2017,Jackson,Kansas City Police Department,Gunshot
32,Male,White,28/07/2017,Schenectady,Glenville Police Department,Gunshot
37,Male,Hispanic,28/07/2017,Bernalillo,Bernalillo County Sheriff's Office,Gunshot
26,Male,White,27/07/2017,San Bernardino,San Bernardino County Sheriff's Department,Gunshot
31,Male,White,27/07/2017,Chelan,Wenatchee Police Department,Gunshot
35,Male,Hispanic,27/07/2017,Madera,"Chowchilla Police Department, California Highway Patrol","Gunshot, Taser"
39,Male,Black,27/07/2017,Claiborne,Louisiana Department of Corrections,Gunshot
46,Male,White,27/07/2017,Los Angeles,Los Angeles Police Department,Gunshot
25,Male,Hispanic,27/07/2017,Kings,Avenal Police Department,"Gunshot, Taser"
26,Male,White,26/07/2017,Bexar,San Antonio Police Department,Gunshot
35,Male,White,26/07/2017,Maricopa,Phoenix Police Department,Gunshot
62,Female,White,26/07/2017,Indian River,Indian River Sheriff's Office,Gunshot
25,Male,Black,26/07/2017,Montgomery,"Trotwood Police Department, Montgomery County Sheriff's Office",Gunshot
23,Male,White,25/07/2017,Richmond City,Richmond Police Department,"Gunshot, Taser"
28,Male,White,25/07/2017,Duval,Jacksonville Sheriff's Office,Gunshot
33,Male,Hispanic,25/07/2017,Maricopa,Avondale Police Department,Gunshot
16,Male,Black,25/07/2017,Crittenden,Marion Police Department,Gunshot
31,Male,White,24/07/2017,St. Louis,"St. Louis County Police Department, Festus Police Department, Missouri Highway Patrol, Jefferson County Sheriff's Department",Gunshot
34,Male,White,23/07/2017,Butte,"Chico Police Department, Butte County Sheriff's Office",Gunshot
41,Male,Hispanic,23/07/2017,DeSoto,Southaven Police Department,Gunshot
59,Male,White,23/07/2017,Eau Claire,Eau Claire Police Department,Gunshot
49,Male,White,23/07/2017,Worcester,Spencer Police Department,Gunshot
22,Male,Hispanic,21/07/2017,Orange,Santa Ana Police Department,Gunshot
42,Male,Hispanic,21/07/2017,Hidalgo,Mission Police Department,Gunshot
70,Male,Hispanic,21/07/2017,Yavapai,"Yavapai County Sheriff's Office, Chino Valley Police Department",Gunshot
27,Male,Black,20/07/2017,St. Louis,St. Louis Metropolitan Police Department,Gunshot
52,Male,White,20/07/2017,Newton,Neosho Police Department,Gunshot
45,Male,White,20/07/2017,Haralson,Paulding County Sheriff's Office,Gunshot
24,Male,White,19/07/2017,Santa Fe,Santa Fe Police Department,Gunshot
24,Male,White,19/07/2017,Sacramento,"Sacramento County Sheriff's Department, Fulton-El Camino Recreation and Parks District",Gunshot
38,Male,Asian,19/07/2017,Saginaw,Saginaw Township Police Department,Gunshot
32,Male,White,18/07/2017,Jefferson,Jefferson County Sheriff's Office,Gunshot
70,Male,White,18/07/2017,Lane,Springfield Police Department,Gunshot
36,Male,Unknown race,18/07/2017,Apache,Eagar Police Department,Gunshot
25,Female,Black,17/07/2017,Norfolk City,Norfolk Police Department,Gunshot
37,Male,Hispanic,17/07/2017,Bexar,San Antonio Police Department,Gunshot
43,Male,White,17/07/2017,Culpeper,Culpeper County Sheriff's Office,Gunshot
52,Male,Hispanic,17/07/2017,Dona Ana,Las Cruces Police Department,Gunshot
37,Female,White,16/07/2017,Orange,Los Alamitos Police Department,Gunshot
22,Male,White,15/07/2017,Tarrant,Arlington Police Department,Gunshot
23,Male,Black,15/07/2017,Riverside,Riverside County Sheriff's Department,Gunshot
29,Male,Hispanic,15/07/2017,Los Angeles,Los Angeles Police Department,Gunshot
32,Male,Hispanic,15/07/2017,Gila,"U.S. Forest Service, San Carlos Apache Tribal Police Department",Gunshot
40,Female,White,15/07/2017,Hennepin,Minneapolis Police Department,Gunshot
42,Male,Hispanic,13/07/2017,Maricopa,Maricopa County Sheriff's Office,Gunshot
55,Male,White,13/07/2017,Pima,Pima County Sheriff's Department,Gunshot
56,Male,White,13/07/2017,Pasco,Pasco County Sheriff's Office,Gunshot
33,Male,Native American,2017-12-07 00:00:00,Oklahoma,Oklahoma City Police Department,Gunshot
40,Male,White,2017-12-07 00:00:00,Dillon,Dillon County Sheriff's Office,Gunshot
58,Male,White,2017-12-07 00:00:00,San Luis Obispo,Grover Beach Police Department,"Gunshot, Taser"
27,Male,White,2017-11-07 00:00:00,Clark,Las Vegas Metropolitan Police Department,Gunshot
34,Male,White,2017-11-07 00:00:00,Jefferson,"Waukesha County Sheriff's Department, Delafield Police Department",Gunshot
40,Male,Unknown race,2017-11-07 00:00:00,Henrico,Henrico Police Department,Gunshot
48,Male,White,2017-11-07 00:00:00,Butler,Butler County Sheriff's Department,Gunshot
54,Male,White,2017-11-07 00:00:00,Mohave,Mohave County Sheriff's Office,Gunshot
47,Male,Black,2017-11-07 00:00:00,Leavenworth,Leavenworth Police Department,Gunshot
39,Male,White,2017-10-07 00:00:00,Chisago,"Chisago County Sheriff's Office, Minnesota State Patrol",Gunshot
26,Male,White,2017-10-07 00:00:00,Frederick,Howard County Police Department,Gunshot
24,Male,Hispanic,2017-09-07 00:00:00,Cook,Chicago Police Department,Gunshot
27,Male,Black,2017-09-07 00:00:00,Wicomico,Maryland State Police,Gunshot
28,Male,White,2017-09-07 00:00:00,Stark,Uniontown Police Department,Gunshot
34,Male,White,2017-09-07 00:00:00,Kitsap,Bainbridge Island Police Department,Gunshot
54,Male,Black,2017-09-07 00:00:00,Summit,Akron Police Department,Gunshot
22,Male,White,2017-08-07 00:00:00,Thurston,Washington State Patrol,Gunshot
23,Male,Black,2017-08-07 00:00:00,Putnam,Putnam County Sheriff's Office,"Gunshot, Taser"
50,Female,White,2017-08-07 00:00:00,Johnston,"North Carolina State Highway Patrol, Johnston County Sheriff's Office",Gunshot
30,Male,Black,2017-07-07 00:00:00,Franklin,Columbus Division of Police,Gunshot
33,Male,Black,2017-07-07 00:00:00,Cobb,Cobb County Police Department,Gunshot
58,Male,Black,2017-07-07 00:00:00,Washington,Washington County Sheriff's Office,Taser
16,Male,White,2017-07-07 00:00:00,Madison,Priceville Police Department,Gunshot
27,Male,Black,2017-06-07 00:00:00,Evangeline,Evangeline Parish Sheriff's Office,Gunshot
35,Male,Hispanic,2017-06-07 00:00:00,Hillsborough,Plant City Police Department,Gunshot
29,Female,White,2017-05-07 00:00:00,Polk,Des Moines Police Department,Gunshot
34,Male,Black,2017-05-07 00:00:00,Bronx,New York Police Department,Gunshot
45,Male,White,2017-05-07 00:00:00,Sequoyah,Sequoyah County Sheriff's Office,Gunshot
51,Male,White,2017-05-07 00:00:00,Somerset,Somerset County Sheriff's Office,Gunshot
53,Male,White,2017-05-07 00:00:00,Monroe,Monroe County Sheriff's Office,Gunshot
